iter	Passed	Remaining
0	147	146877
1	148	74339
2	150	50132
3	152	38031
4	154	30772
5	156	25931
6	158	22434
7	160	19842
8	161	17835
9	163	16222
10	165	14900
11	167	13809
12	169	12842
13	171	12049
14	173	11362
15	174	10760
16	176	10229
17	178	9754
18	180	9328
19	182	8950
20	184	8606
21	186	8295
22	188	8014
23	190	7752
24	192	7509
25	194	7286
26	196	7082
27	198	6892
28	200	6715
29	202	6547
30	204	6393
31	206	6246
32	208	6107
33	210	5977
34	212	5857
35	214	5745
36	216	5636
37	218	5531
38	220	5442
39	222	5351
40	225	5267
41	228	5217
42	230	5135
43	233	5070
44	235	5000
45	237	4927
46	239	4858
47	241	4793
48	243	4724
49	245	4662
50	247	4604
51	249	4546
52	251	4490
53	253	4438
54	255	4387
55	257	4336
56	259	4288
57	261	4245
58	263	4200
59	265	4155
60	267	4114
61	269	4072
62	271	4032
63	273	3998
64	275	3962
65	277	3925
66	279	3889
67	281	3856
68	283	3822
69	285	3789
70	287	3760
71	289	3729
72	291	3698
73	293	3669
74	294	3634
75	296	3606
76	298	3579
77	300	3555
78	302	3530
79	304	3505
80	306	3482
81	308	3458
82	310	3434
83	312	3411
84	314	3389
85	316	3366
86	318	3344
87	320	3324
88	322	3300
89	324	3280
90	326	3259
91	328	3240
92	330	3221
93	332	3202
94	334	3185
95	336	3168
96	338	3151
97	340	3134
98	342	3117
99	344	3100
100	346	3083
101	348	3067
102	350	3051
103	352	3035
104	354	3020
105	356	3005
106	358	2989
107	360	2974
108	362	2960
109	364	2946
110	366	2931
111	368	2918
112	370	2905
113	371	2886
114	373	2873
115	375	2861
116	377	2848
117	379	2835
118	381	2824
119	383	2812
120	385	2799
121	387	2787
122	389	2775
123	391	2763
124	393	2752
125	395	2741
126	397	2731
127	399	2720
128	401	2712
129	403	2702
130	405	2691
131	407	2681
132	409	2671
133	411	2660
134	413	2650
135	415	2640
136	417	2631
137	419	2621
138	421	2613
139	423	2604
140	425	2594
141	429	2592
142	431	2583
143	433	2574
144	435	2567
145	437	2558
146	439	2549
147	441	2541
148	443	2534
149	445	2525
150	447	2517
151	449	2509
152	451	2500
153	453	2492
154	455	2484
155	457	2476
156	459	2468
157	461	2460
158	463	2452
159	465	2444
160	467	2436
161	469	2429
162	471	2421
163	473	2414
164	475	2407
165	477	2399
166	479	2392
167	481	2385
168	483	2378
169	485	2371
170	487	2364
171	489	2358
172	491	2351
173	493	2344
174	495	2338
175	497	2331
176	499	2324
177	501	2318
178	503	2311
179	505	2304
180	507	2297
181	509	2292
182	511	2285
183	513	2279
184	516	2273
185	518	2267
186	519	2260
187	521	2254
188	523	2247
189	525	2241
190	527	2235
191	529	2228
192	531	2222
193	533	2216
194	535	2210
195	537	2204
196	539	2199
197	541	2193
198	543	2188
199	545	2182
200	547	2176
201	549	2172
202	552	2167
203	554	2161
204	556	2156
205	557	2150
206	560	2145
207	562	2140
208	564	2135
209	566	2130
210	568	2124
211	570	2119
212	572	2114
213	574	2109
214	576	2104
215	578	2098
216	580	2093
217	582	2088
218	584	2083
219	586	2078
220	588	2073
221	590	2069
222	592	2064
223	594	2058
224	596	2055
225	598	2050
226	600	2045
227	602	2040
228	604	2035
229	606	2030
230	608	2026
231	610	2021
232	612	2016
233	614	2012
234	617	2008
235	618	2003
236	620	1999
237	623	1994
238	625	1990
239	626	1985
240	629	1980
241	631	1976
242	633	1971
243	634	1967
244	637	1963
245	639	1958
246	640	1954
247	643	1949
248	645	1945
249	647	1941
250	649	1936
251	651	1932
252	653	1928
253	655	1923
254	657	1921
255	659	1916
256	661	1912
257	663	1909
258	665	1904
259	667	1900
260	669	1896
261	671	1892
262	673	1888
263	675	1884
264	678	1880
265	680	1878
266	682	1874
267	684	1870
268	686	1866
269	688	1862
270	690	1858
271	692	1853
272	694	1849
273	696	1845
274	698	1841
275	700	1837
276	702	1833
277	704	1829
278	706	1825
279	708	1821
280	710	1817
281	712	1813
282	714	1809
283	716	1805
284	718	1801
285	720	1797
286	721	1793
287	723	1789
288	725	1785
289	727	1781
290	729	1777
291	731	1773
292	733	1770
293	735	1766
294	737	1762
295	739	1758
296	741	1754
297	743	1751
298	745	1747
299	747	1743
300	749	1739
301	751	1735
302	752	1732
303	754	1728
304	756	1724
305	758	1720
306	760	1716
307	762	1713
308	764	1709
309	767	1707
310	769	1704
311	771	1700
312	773	1697
313	775	1693
314	777	1689
315	778	1686
316	780	1682
317	782	1679
318	784	1675
319	786	1671
320	788	1668
321	790	1664
322	792	1661
323	794	1657
324	796	1654
325	798	1651
326	800	1647
327	802	1644
328	804	1640
329	806	1637
330	808	1633
331	810	1630
332	812	1626
333	814	1623
334	815	1619
335	817	1616
336	819	1612
337	821	1609
338	823	1605
339	825	1602
340	827	1599
341	829	1595
342	831	1592
343	833	1589
344	835	1585
345	837	1582
346	838	1578
347	840	1575
348	842	1571
349	844	1568
350	846	1565
351	848	1561
352	850	1558
353	852	1555
354	854	1551
355	856	1548
356	857	1545
357	859	1541
358	861	1538
359	863	1535
360	865	1532
361	867	1528
362	869	1525
363	871	1522
364	873	1518
365	875	1516
366	877	1513
367	879	1509
368	881	1506
369	882	1503
370	884	1500
371	886	1497
372	888	1493
373	890	1490
374	892	1487
375	894	1484
376	896	1481
377	898	1478
378	900	1474
379	902	1471
380	904	1468
381	905	1465
382	907	1462
383	909	1459
384	911	1456
385	913	1453
386	915	1450
387	917	1447
388	919	1444
389	921	1442
390	923	1439
391	925	1436
392	927	1433
393	929	1430
394	931	1426
395	933	1423
396	935	1420
397	937	1417
398	939	1415
399	941	1412
400	943	1409
401	945	1406
402	947	1403
403	949	1400
404	951	1397
405	953	1394
406	955	1391
407	956	1388
408	958	1385
409	960	1382
410	962	1379
411	964	1376
412	966	1373
413	968	1371
414	970	1368
415	972	1365
416	974	1362
417	976	1359
418	978	1356
419	980	1353
420	982	1351
421	984	1348
422	986	1345
423	988	1342
424	990	1339
425	992	1336
426	994	1333
427	996	1331
428	998	1328
429	999	1325
430	1001	1322
431	1003	1319
432	1005	1316
433	1007	1313
434	1009	1310
435	1011	1308
436	1013	1305
437	1015	1302
438	1016	1299
439	1018	1296
440	1020	1293
441	1022	1291
442	1024	1288
443	1026	1285
444	1028	1282
445	1030	1279
446	1032	1276
447	1034	1274
448	1035	1271
449	1037	1268
450	1039	1265
451	1041	1262
452	1043	1259
453	1045	1257
454	1047	1254
455	1049	1251
456	1051	1248
457	1052	1246
458	1054	1243
459	1056	1240
460	1058	1237
461	1060	1235
462	1063	1233
463	1066	1232
464	1068	1229
465	1070	1227
466	1073	1224
467	1075	1222
468	1077	1220
469	1079	1217
470	1082	1215
471	1084	1212
472	1086	1210
473	1088	1208
474	1090	1205
475	1092	1202
476	1094	1200
477	1096	1197
478	1098	1195
479	1100	1192
480	1103	1190
481	1104	1187
482	1106	1184
483	1108	1182
484	1110	1179
485	1112	1176
486	1114	1173
487	1116	1171
488	1118	1168
489	1120	1165
490	1121	1163
491	1123	1160
492	1125	1157
493	1127	1155
494	1129	1152
495	1131	1149
496	1132	1146
497	1134	1144
498	1136	1141
499	1138	1138
500	1140	1135
501	1142	1133
502	1144	1130
503	1146	1127
504	1148	1125
505	1149	1122
506	1151	1120
507	1153	1117
508	1155	1114
509	1157	1112
510	1159	1109
511	1161	1107
512	1163	1104
513	1165	1101
514	1167	1099
515	1169	1096
516	1171	1094
517	1173	1091
518	1175	1089
519	1177	1086
520	1178	1083
521	1180	1081
522	1182	1078
523	1184	1076
524	1186	1073
525	1188	1071
526	1190	1068
527	1192	1065
528	1194	1063
529	1196	1061
530	1198	1058
531	1200	1056
532	1202	1053
533	1204	1051
534	1206	1048
535	1208	1046
536	1210	1044
537	1212	1041
538	1214	1039
539	1216	1036
540	1218	1034
541	1220	1031
542	1222	1029
543	1224	1026
544	1226	1024
545	1229	1021
546	1230	1019
547	1232	1016
548	1234	1014
549	1236	1011
550	1238	1009
551	1240	1006
552	1242	1004
553	1244	1001
554	1246	999
555	1248	997
556	1250	994
557	1252	991
558	1254	989
559	1256	987
560	1258	984
561	1260	982
562	1262	979
563	1264	977
564	1266	974
565	1267	972
566	1269	969
567	1271	967
568	1273	964
569	1275	962
570	1277	959
571	1279	957
572	1281	955
573	1283	952
574	1285	950
575	1287	947
576	1289	945
577	1291	942
578	1293	940
579	1295	937
580	1297	935
581	1299	933
582	1301	930
583	1303	928
584	1305	925
585	1307	923
586	1309	921
587	1311	918
588	1313	916
589	1314	913
590	1316	911
591	1318	908
592	1320	906
593	1322	904
594	1324	901
595	1326	899
596	1328	896
597	1330	894
598	1332	891
599	1334	889
600	1336	887
601	1338	884
602	1340	882
603	1341	879
604	1343	877
605	1345	874
606	1347	872
607	1349	870
608	1351	867
609	1353	865
610	1355	862
611	1357	860
612	1359	858
613	1361	855
614	1363	853
615	1365	851
616	1367	848
617	1368	846
618	1370	843
619	1372	841
620	1374	838
621	1376	836
622	1378	834
623	1380	831
624	1382	829
625	1384	827
626	1386	824
627	1388	822
628	1390	820
629	1392	817
630	1394	815
631	1396	812
632	1398	810
633	1399	808
634	1401	805
635	1403	803
636	1405	801
637	1407	798
638	1409	796
639	1411	793
640	1413	791
641	1415	789
642	1417	786
643	1419	784
644	1421	782
645	1423	779
646	1425	777
647	1427	775
648	1428	772
649	1430	770
650	1432	768
651	1435	765
652	1438	764
653	1440	761
654	1442	759
655	1444	757
656	1446	755
657	1448	752
658	1450	750
659	1453	748
660	1455	746
661	1457	744
662	1459	741
663	1461	739
664	1463	737
665	1465	734
666	1467	732
667	1469	730
668	1471	728
669	1473	725
670	1475	723
671	1477	721
672	1479	718
673	1481	716
674	1483	714
675	1485	711
676	1487	709
677	1489	707
678	1491	705
679	1493	702
680	1495	700
681	1497	698
682	1498	695
683	1500	693
684	1502	691
685	1504	688
686	1507	686
687	1509	684
688	1511	682
689	1513	679
690	1515	677
691	1517	675
692	1519	673
693	1521	671
694	1523	668
695	1525	666
696	1527	664
697	1529	661
698	1531	659
699	1533	657
700	1535	655
701	1538	652
702	1539	650
703	1541	648
704	1543	646
705	1545	643
706	1547	641
707	1549	639
708	1551	636
709	1553	634
710	1555	632
711	1557	630
712	1559	627
713	1561	625
714	1563	623
715	1565	620
716	1567	618
717	1569	616
718	1571	614
719	1573	611
720	1575	609
721	1577	607
722	1579	605
723	1581	602
724	1583	600
725	1585	598
726	1587	595
727	1588	593
728	1590	591
729	1592	589
730	1594	586
731	1596	584
732	1598	582
733	1600	580
734	1602	577
735	1604	575
736	1606	573
737	1608	571
738	1610	568
739	1612	566
740	1614	564
741	1616	562
742	1618	559
743	1620	557
744	1622	555
745	1624	553
746	1626	550
747	1628	548
748	1630	546
749	1632	544
750	1634	541
751	1636	539
752	1638	537
753	1640	535
754	1642	532
755	1644	530
756	1646	528
757	1648	526
758	1650	524
759	1652	521
760	1654	519
761	1656	517
762	1658	515
763	1660	512
764	1662	510
765	1664	508
766	1666	506
767	1668	504
768	1670	501
769	1672	499
770	1674	497
771	1676	495
772	1678	492
773	1680	490
774	1682	488
775	1684	486
776	1686	483
777	1688	481
778	1690	479
779	1692	477
780	1694	475
781	1695	472
782	1697	470
783	1700	468
784	1702	466
785	1704	463
786	1706	461
787	1708	459
788	1709	457
789	1711	455
790	1714	452
791	1716	450
792	1718	448
793	1720	446
794	1722	444
795	1724	441
796	1726	439
797	1728	437
798	1729	435
799	1732	433
800	1734	430
801	1736	428
802	1738	426
803	1740	424
804	1742	422
805	1744	419
806	1746	417
807	1748	415
808	1750	413
809	1752	411
810	1754	408
811	1756	406
812	1758	404
813	1760	402
814	1762	400
815	1764	397
816	1766	395
817	1768	393
818	1770	391
819	1772	388
820	1774	386
821	1775	384
822	1777	382
823	1779	380
824	1781	377
825	1783	375
826	1785	373
827	1787	371
828	1789	369
829	1791	366
830	1793	364
831	1795	362
832	1797	360
833	1799	358
834	1801	356
835	1803	353
836	1805	351
837	1807	349
838	1809	347
839	1811	345
840	1813	342
841	1815	340
842	1817	338
843	1819	336
844	1821	334
845	1823	331
846	1825	329
847	1827	327
848	1829	325
849	1831	323
850	1833	320
851	1835	318
852	1837	316
853	1839	314
854	1841	312
855	1843	310
856	1845	307
857	1847	305
858	1849	303
859	1851	301
860	1853	299
861	1855	297
862	1857	294
863	1859	292
864	1861	290
865	1863	288
866	1865	286
867	1867	283
868	1869	281
869	1870	279
870	1872	277
871	1874	275
872	1876	273
873	1878	270
874	1880	268
875	1882	266
876	1884	264
877	1886	262
878	1888	259
879	1890	257
880	1892	255
881	1894	253
882	1896	251
883	1898	249
884	1900	246
885	1902	244
886	1903	242
887	1905	240
888	1907	238
889	1909	236
890	1911	233
891	1913	231
892	1915	229
893	1917	227
894	1919	225
895	1921	223
896	1923	220
897	1925	218
898	1927	216
899	1929	214
900	1930	212
901	1932	210
902	1934	207
903	1936	205
904	1938	203
905	1940	201
906	1942	199
907	1945	197
908	1946	194
909	1949	192
910	1951	190
911	1952	188
912	1954	186
913	1956	184
914	1958	181
915	1960	179
916	1962	177
917	1964	175
918	1966	173
919	1968	171
920	1970	169
921	1972	166
922	1974	164
923	1976	162
924	1978	160
925	1980	158
926	1982	156
927	1984	153
928	1986	151
929	1988	149
930	1990	147
931	1991	145
932	1993	143
933	1995	141
934	1997	138
935	1999	136
936	2001	134
937	2003	132
938	2005	130
939	2007	128
940	2009	125
941	2011	123
942	2013	121
943	2015	119
944	2016	117
945	2018	115
946	2020	113
947	2022	110
948	2024	108
949	2026	106
950	2028	104
951	2030	102
952	2032	100
953	2034	98
954	2036	95
955	2038	93
956	2040	91
957	2041	89
958	2043	87
959	2045	85
960	2047	83
961	2049	80
962	2051	78
963	2053	76
964	2055	74
965	2057	72
966	2059	70
967	2061	68
968	2063	66
969	2065	63
970	2067	61
971	2069	59
972	2071	57
973	2073	55
974	2075	53
975	2076	51
976	2078	48
977	2080	46
978	2082	44
979	2084	42
980	2086	40
981	2088	38
982	2090	36
983	2092	34
984	2094	31
985	2096	29
986	2098	27
987	2100	25
988	2102	23
989	2103	21
990	2105	19
991	2107	16
992	2109	14
993	2111	12
994	2113	10
995	2115	8
996	2117	6
997	2119	4
998	2121	2
999	2123	0
